2026-04-19 13:21:27,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:21:56,Lizzie Kriz,NA,Stare
2026-04-19 13:22:24,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:23:11,Lizzie Kriz,NA,Groom
2026-04-19 13:23:19,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:23:23,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:23:41,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:24:03,Lizzie Kriz,NA,Lick
2026-04-19 13:24:29,Lizzie Kriz,Unprompted,Stare
2026-04-19 13:26:51,Lizzie Kriz,Unprompted,Stare
2026-04-19 13:26:51,Lizzie Kriz,Unprompted,Stare
2026-04-19 13:34:44,Lizzie Kriz,Prompted,Play
2026-04-19 13:34:53,Lizzie Kriz,Prompted,Play
2026-04-19 13:34:57,Lizzie Kriz,Prompted,Play
2026-04-19 13:35:28,Lizzie Kriz,Prompted,Stare
2026-04-19 13:35:48,Lizzie Kriz,Prompted,Growl
2026-04-19 13:36:09,Lizzie Kriz,Prompted,Growl
2026-04-19 13:38:26,Lizzie Kriz,Prompted,Floor
2026-04-19 13:39:44,Lizzie Kriz,Prompted,Play
2026-04-19 13:42:44,Lizzie Kriz,Unprompted,Floor
2026-04-19 13:44:46,Lizzie Kriz,Unprompted,Lick
2026-04-19 13:45:25,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:47:16,Lizzie Kriz,NA,Groom
2026-04-19 13:49:38,Lizzie Kriz,Unprompted,Lick
2026-04-19 13:50:52,Lizzie Kriz,NA,Wiggle
2026-04-19 13:51:03,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:51:04,Lizzie Kriz,Unprompted,Lick
2026-04-19 13:53:40,Lizzie Kriz,Unprompted,Lick
2026-04-19 13:55:25,Lizzie Kriz,Unprompted,Bed
2026-04-19 13:59:55,Lizzie Kriz,NA,Groom
2026-04-19 14:03:02,Lizzie Kriz,NA,Wiggle
2026-04-19 14:07:32,Lizzie Kriz,NA,Groom
2026-04-19 14:08:17,Lizzie Kriz,Unprompted,Play
2026-04-19 14:11:12,Lizzie Kriz,Unprompted,Growl
2026-04-19 14:40:53,Lizzie Kriz,Unprompted,Bed
2026-04-19 14:41:00,Lizzie Kriz,Unprompted,Stare
2026-04-19 14:42:49,Lizzie Kriz,Unprompted,Stare
2026-04-19 14:46:52,Lizzie Kriz,Unprompted,Stare
2026-04-19 15:06:02,Lizzie Kriz,NA,Groom
2026-04-19 15:06:11,Lizzie Kriz,Unprompted,Play
2026-04-19 15:08:39,Lizzie Kriz,Prompted,Floor
2026-04-19 15:13:03,Lizzie Kriz,Prompted,Lick
2026-04-19 15:13:26,Lizzie Kriz,Unprompted,Lick
2026-04-19 15:17:26,Lizzie Kriz,NA,Groom
2026-04-19 15:20:50,Lizzie Kriz,NA,Groom
2026-04-19 15:33:02,Lizzie Kriz,Unprompted,Play
